VegID,CommonName,GenusGroup,Family,GrowthForm,Type,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6,References,Comment
Abies pardei,,AbiesIso,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies pinsapo,,AbiesIso,Pinaceae,Ntr,species,0.003,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies procera,noble fir,Abies,Pinaceae,Ntr,species,0.003,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abutilon striatum,,Abutilon,Malvaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia,acacia,Acacia,Fabaceae,Btr,genus,5,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia amara,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia aneura,mulga,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia auculaeformis,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia auriculiformis,earleaf acacia,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia baileyana,cootamundra wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia berlandieri,guajillo,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia borleae,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia burkei,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia caffra,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia cognata,bower wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia confusa,small Philippine acacia,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia constricta,whitethorn acacia,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia craspedocarpa,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia crassiramia,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia cultriformis,knife acacia,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia cyanophylla,,Acacia,Fabaceae,Unknown,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia cyclops,coastal wattle,Acacia,Fabaceae,Shrub,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia dealbata,silver wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia decurrens,green wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia erioloba,camelthorn,Acacia_MT,Fabaceae,Btr,species,0.1,0.003,3,1,1,1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia farnesiana,sweet acacia,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia floribunda,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia galpinii,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia greggii,catclaw acacia,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia guachapele,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia harpophylla,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia holosericea,candelabra wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia intsia,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia julibrissin,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia karroo,karroothorn,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia longifolia,Sydney golden wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia lucidior,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia mangium,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia melanoxylon,blackwood,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia nigrescens,knobthorn,Acacia_ISO,Fabaceae,Btr,species,8,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia nilotica,gum arabic tree,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia paradoxa,paradox acacia,Acacia,Fabaceae,Shrub,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia pendula,myall acacia,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia pennata,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia pentagona,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia podalyriaefolia,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia podalyriifolia,pearl wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia polyacantha,catechu tree,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia pravissima,wedge-leaf wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia pycnantha,golden wattle,Acacia_ISO,Fabaceae,Btr,species,8,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia redolens,bank catclaw,Acacia,Fabaceae,Shrub,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia retinodes,water wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia rigidula,blackbrush acacia,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia robusta,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia rubusta,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia salicina,cooba,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia saligna,orange wattle,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia senegal,gum arabic,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia sieberana,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia smallii,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia sophorae,acacia,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia stenophylla,Dalby myall,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia subporosa,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia tortilis,umbrella thorn,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia willardiana,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia xanthoploea,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acacia zygia,,Acacia,Fabaceae,Btr,species,0.1,0.003,0.3,0.1,0.1,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acalypha wilkesiana,common threeseed mercury,Acalypha,Euphorbiaceae,Herb,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acanthopanax evodiaefolius,,Acanthopanax,Araliaceae,btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acca sellowiana,ápineapple guava,Acca,Myrtaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Acer,maple,Acer,Aceraceae,Btr,genus,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer barbatum,southern sugar maple,Acer,Sapindaceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer barbinerve,,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,
Acer buergerianum,trident maple,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer campestre,hedge maple,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer circinatum,vine maple,Acer,Sapindaceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer floridanum,,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,
Acer glabrum,Rocky Mountain maple,Acer,Sapindaceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer grandidentatum,bigtooth maple,Acer,Sapindaceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer grandidentatum var. grandidentatum,bigtooth maple,Acer,Sapindaceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer heptalobum,,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,
Acer leucoderme,chalk maple,Acer,Sapindaceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer macrophyllum,bigleaf maple,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer mandshurica,,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,
Acer mono,Painted maple,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,
Acer monspessulanum,,Acer,Aceraceae,Unknown,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,
Acer negundo,boxelder,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer nigrum,black maple,Acer,Sapindaceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer oblongum,Himalayan maple,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer palmatum,Japanese maple,Acer,Aceraceae,Btr,species,0.003,0.003,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
